001 # 0 # 0 # sky # sky # ""
002 # 0 # 0 # tree # trees # ""
003 # 0 # 0 # tree # trees # ""
004 # 0 # 0 # house # house # ""
005 # 0 # 0 # tree # trees # ""
006 # 0 # 0 # field # field # ""
007 # 0 # 0 # hay # hay roll # ""
008 # 0 # 0 # hay # hay roll # ""
009 # 0 # 0 # hay # hay roll # ""
010 # 0 # 0 # hay # hay roll # ""
011 # 0 # 0 # hay # hay roll # ""
012 # 0 # 0 # hay # hay roll # ""
013 # 0 # 0 # hay # hay roll # ""
014 # 0 # 0 # hay # hay roll # ""
015 # 0 # 0 # hay # hay roll # ""
016 # 0 # 0 # hay # hay roll # ""
017 # 0 # 0 # hay # hay roll # ""
