001 # 0 # 0 # sky # sky # "cloudy"
002 # 0 # 0 # house # houses # ""
003 # 0 # 0 # house # house # ""
004 # 0 # 0 # house # house # ""
005 # 0 # 0 # house # house # ""
006 # 0 # 0 # house # house # ""
007 # 0 # 0 # house # house # ""
008 # 0 # 0 # house # house # ""
009 # 0 # 0 # house # house # ""
010 # 0 # 0 # house # house # ""
011 # 0 # 0 # house # house # ""
012 # 0 # 0 # house # house # ""
013 # 0 # 0 # house # house # ""
014 # 0 # 0 # house # house # ""
015 # 0 # 0 # house # house # ""
016 # 0 # 0 # house # house # ""
017 # 0 # 0 # house # house # ""
018 # 0 # 0 # house # house # ""
019 # 0 # 0 # house # house # ""
020 # 0 # 0 # house # house # ""
021 # 0 # 0 # house # house # ""
022 # 0 # 0 # building, edifice # buildings # ""
023 # 0 # 0 # house # house # ""
024 # 0 # 0 # house # house # ""
025 # 0 # 0 # house # houses # ""
026 # 0 # 0 # house # house # ""
027 # 0 # 0 # house # house # ""
028 # 0 # 0 # house # house # ""
029 # 0 # 0 # house # house # ""
030 # 0 # 0 # house # house # ""
031 # 0 # 0 # house # house # ""
032 # 0 # 0 # building, edifice # building # ""
033 # 0 # 0 # mountain, mount # mountain # ""
