001 # 0 # 0 # wall # wall # "stone"
002 # 0 # 0 # shelf # shelves # ""
003 # 0 # 0 # candelabrum, candelabra # candelabra # ""
004 # 0 # 0 # skull # skull # ""
005 # 0 # 0 # skull # skull # ""
006 # 0 # 0 # skull # skull # ""
007 # 0 # 0 # skull # skull # ""
008 # 0 # 0 # skull # skull # ""
009 # 0 # 0 # skull # skull # ""
010 # 0 # 0 # skull # skull # ""
011 # 0 # 0 # skull # skull # ""
012 # 0 # 0 # skull # skull # ""
013 # 0 # 0 # skull # skull # ""
014 # 0 # 0 # skull # skull # ""
015 # 0 # 0 # skull # skull # ""
016 # 0 # 0 # skull # skull # ""
017 # 0 # 0 # skull # skull # ""
018 # 0 # 0 # skull # skull # ""
019 # 0 # 0 # skull # skull # ""
020 # 0 # 0 # skull # skull # ""
021 # 0 # 0 # skull # skull # ""
022 # 0 # 0 # skull # skull # ""
023 # 0 # 0 # skull # skull # ""
024 # 0 # 0 # skull # skull # ""
025 # 0 # 0 # skull # skull # ""
026 # 0 # 0 # skull # skull # ""
027 # 0 # 0 # skull # skull # ""
028 # 0 # 0 # skull # skull # ""
029 # 0 # 0 # skull # skull # ""
030 # 0 # 0 # skull # skull # ""
031 # 0 # 0 # skull # skull # ""
032 # 0 # 0 # skull # skull # ""
033 # 0 # 0 # skull # skull # ""
034 # 0 # 0 # skull # skull # ""
035 # 0 # 0 # skull # skull # ""
036 # 0 # 0 # skull # skull # ""
037 # 0 # 0 # skull # skull # ""
038 # 0 # 0 # skull # skull # ""
039 # 0 # 0 # skull # skull # ""
040 # 0 # 0 # skull # skull # ""
041 # 0 # 0 # skull # skull # ""
042 # 0 # 0 # skull # skull # ""
043 # 0 # 0 # skull # skull # ""
001 # 1 # 0 # shelf # shelf # "wood"
002 # 1 # 0 # shelf # shelf # "wood"
003 # 1 # 0 # shelf # shelf # "wood"
004 # 1 # 0 # shelf # shelf # "wood"
005 # 1 # 0 # shelf # shelf # "wood"
