001 # 0 # 0 # sidewalk, pavement # sidewalk # ""
002 # 0 # 0 # building, edifice # building # ""
003 # 0 # 0 # telephone booth, phone booth, call box, telephone box, telephone kiosk # telephone booth # ""
001 # 1 # 1 # window # window # "single hung"
002 # 1 # 1 # window # window # "single hung"
004 # 0 # 0 # bannister, banister, balustrade, balusters, handrail # balustrade # ""
005 # 0 # 0 # bannister, banister, balustrade, balusters, handrail # balustrade # ""
001 # 2 # 0 # sill # sill # "exterior"
002 # 2 # 0 # lower sash # lower sash # ""
003 # 2 # 0 # upper sash # upper sash # ""
004 # 2 # 0 # lower sash # lower sash # ""
005 # 2 # 0 # upper sash # upper sash # ""
001 # 3 # 0 # muntin # muntin # ""
002 # 3 # 0 # muntin # muntin # ""
003 # 3 # 0 # muntin # muntin # ""
004 # 3 # 0 # rail # rail # ""
005 # 3 # 0 # stile # stile # ""
006 # 3 # 0 # stile # stile # ""
007 # 3 # 0 # pane # pane # "glass"
008 # 3 # 0 # pane # pane # "glass"
009 # 3 # 0 # pane # pane # "glass"
010 # 3 # 0 # pane # pane # "glass"
011 # 3 # 0 # pane # pane # "glass"
012 # 3 # 0 # pane # pane # "glass"
013 # 3 # 0 # rail # rail # ""
014 # 3 # 0 # muntin # muntin # ""
015 # 3 # 0 # muntin # muntin # ""
016 # 3 # 0 # stile # stile # ""
017 # 3 # 0 # stile # stile # ""
018 # 3 # 0 # pane # pane # "glass"
019 # 3 # 0 # pane # pane # "glass"
020 # 3 # 0 # pane # pane # "glass"
021 # 3 # 0 # stile # stile # ""
022 # 3 # 0 # rail # rail # ""
023 # 3 # 0 # muntin # muntin # ""
024 # 3 # 0 # muntin # muntin # ""
025 # 3 # 0 # muntin # muntin # ""
026 # 3 # 0 # pane # pane # "glass"
027 # 3 # 0 # pane # pane # "glass"
028 # 3 # 0 # pane # pane # "glass"
029 # 3 # 0 # pane # pane # "glass"
030 # 3 # 0 # pane # pane # "glass"
031 # 3 # 0 # pane # pane # "glass"
032 # 3 # 0 # rail # rail # ""
033 # 3 # 0 # stile # stile # ""
034 # 3 # 0 # muntin # muntin # ""
035 # 3 # 0 # muntin # muntin # ""
036 # 3 # 0 # pane # pane # "glass"
037 # 3 # 0 # pane # pane # "glass"
038 # 3 # 0 # pane # pane # "glass"
